" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
"  value corresponding to  constantvalue attribute or null	 ",negative
" not directly implemented	 ",negative
" no json view specified	 ",negative
" spr 	 ",negative
" static bean method	 ",negative
" just rethrow exception if we can t get any match	 ",negative
" flux	 ",negative
" use hashcode of service locator proxy	 ",negative
" october days daylight saving boundary in cet	 ",negative
" context path only	 ",negative
" visit  annotationdefault attribute	 ",negative
" noarg constructor for xml	 ",negative
" probably hibernate s websphereextendedjtatransactionlookup pseudo jta stuff	 ",negative
" removeregistered singleton of  given name if any	 ",negative
" spring style	 ",negative
" string listenernames listablebeanfactory applicationcontextgetbeefinitionnamesapplicationlistenerclass asserttruelisteners include beanthatlistens arraysaslistlistenernamescontainsbeanthatlistens	 ",negative
" was or	 ",negative
" currently deliberate	 ",negative
" empty params	 ",negative
" graph  add se blocks to  list of blocks to process if not already done	 ",negative
" notclass we need to evaluate  script for every call	 ",negative
" dynamic sql error cardinality violation syntax error direct sql syntax error dynamic sql general sql syntax error oracle unknown identifier	 ",negative
" add se so that static methods are invocable on  type eg floatvalueof	 ",negative
" 	 ",negative
" spr 	 ",negative
" singleton property	 ",negative
" existing reference will fail	 ",negative
" string not exhausted but pattern is failure	 ",negative
" this produces see comments in httpsjiraspringiobrowsespr comparator string patterncomparator new antpathmatchergetpatterncomparator	 ",negative
" number of times to interpret an expression before compiling it	 ",negative
" cleaned url path cannot be converted to url take original url	 ",negative
"bean contained innonsingleton bean cannot besingleton itself let s correct this on  fly here since this might be  result of parentchild merging for  outer bean in which case  original inner bean	 ",negative
" visit  stack map frame for this bytecode offset if any	 ",negative
" httpsgithubcomspringprojectsspringframeworkissues 	 ",negative
"  best we can do is to check wher we re logically connected	 ",negative
" nice long wait	 ",negative
" two errors	 ",negative
" varargs but nothing to convert	 ",negative
" no resolver registered exception	 ",negative
" 	 ",negative
" assignlist string to  list integer field  component elements should be converted	 ",negative
" passing super on call to sub is notmatch	 ",negative
" verify how all  nodes behave with assignment 	 ",negative
" setting values	 ",negative
" delegation methods	 ",negative
" finally invoke all or beanfactorypostprocessors	 ",negative
" this will call  getter	 ",negative
" primitive int	 ",negative
" only use factory method metadata if  return type is actually expressive enough for our dependency orwise  returned instance type may have matched instead in case ofsingleton instance having been registered with  container already	 ",negative
" instantiate  bean	 ",negative
" ok so no jta transactionmanager is available	 ",negative
" keep reading up to bits	 ",negative
" do not attempt to lookup tx manager if no tx attributes are set	 ",negative
" use cached qualifiedidentifier	 ",negative
" filling at least one buffer	 ",negative
" propagate refresh to lifecycle processor first	 ",negative
" proxy is not yet available but that shouldn t matter	 ",negative
" not touched	 ",negative
" skip  first character which is always	 ",negative
" regular instantiation via default constructor	 ",negative
" first call should not have been cached	 ",negative
" check for uniqueness	 ",negative
" jsr api not available	 ",negative
" extendedbeaninfo needs to behave exactly like beaninfo	 ",negative
" compute  store  offset of each bootstrap methods array field entry	 ",negative
" add each bootstrap method in  symbol table entries	 ",negative
" parsecheck instanceof list instanceof list true	 ",negative
" 	 ",negative
" or removing  attribute respectively if appropriate	 ",negative
" spr 	 ",negative
" in case of factorybean match object created by factorybean	 ",negative
" here  target method takes object  we are passingstring	 ",negative
" update of  cache will fail as well	 ",negative
" setup security	 ",negative
" deprecated attributes always use bytes	 ",negative
" not found	 ",negative
" spr 	 ",negative
" read  access flags name index  descriptor index fields	 ",negative
" search for furr keys to strip with  first key not stripped	 ",negative
" check that this doesn t fail due to attempt to assign final	 ",negative
" improve  message by showing  context	 ",negative
" same implicit default values as  crossorigin annotation allows simple methods	 ",negative
" spr 	 ",negative
" should rollback	 ",negative
" 	 ",negative
" actually invoke  hler	 ",negative
" data flow algorithm put  first basic block inlist of blocks to process ie blocks whose input stack size has changed  while re are blocks to process remove one from  list update  input stack size of its successor blocks in  control flow	 ",negative
" assert that  property source was added last to  set of sources	 ",negative
" cannot happen	 ",negative
" no path info not mapped by prefix nor by extension nor for  default servlet mapping ie urldecodefalse can cause issues since getservletpath returnsdecoded path if decoding pathwithinapp yieldsmatch just use pathwithinapp	 ",negative
" if  target is varargs  re is just one more argument	 ",negative
" check it returns mutable contexts	 ",negative
" see orgspringframeworkcoreenvenvironmentsystemintegrationtests	 ",negative
" in  first case we should not retry in  second case we should see if re isbetter suited method	 ",negative
" but do not simulate validation of  equal bean asconsequencemethod override in equal will be marked as overloaded but  corresponding override in master will not but  bean definitions should still be considered equal	 ",negative
" ask for  result to be made into an integer	 ",negative
" gh 	 ",negative
" only really happens on jboss in case of an early timeout	 ",negative
" intentionally final	 ",negative
" serverwebexchange delegation methods	 ",negative
" note this class must not implement serializable because it serves as base class for aspectj aspects which are not allowed to implement serializable 	 ",negative
" extract key from attribute or subelement	 ",negative
" fall back to an implicit database name based on  id	 ",negative
" removes counting before advisor	 ",negative
" spr 	 ",negative
" try fallback to originally specified name	 ",negative
" spr 	 ",negative
" create  visit  label for  first basic block	 ",negative
" to be invoked through  proxy even in case of an interfacebased proxy	 ",negative
" inbound mapping	 ",negative
" test matching with s	 ",negative
" order  priority should be ignored due to implementation of priorityordered	 ",negative
" convert value totransaction attribute	 ",negative
" if you thought things were bad before now we sink to new levels of horror	 ",negative
" 	 add an attribute forcacheable method	 p method names can be exact matches or of  pattern xxx	 xxx or xxx for matching multiple methods	 param methodname  name of  method	 param ops operation associated with  method	 	 ",negative
" removes nop 	 ",negative
" 	 ",negative
" two reasons this can occur  method invoked actually threwreal exception  method invoked was not passed  arguments it expected  has become stale 	 ",negative
" obtainrequestdispatcher for  target resource typicallyjsp	 ",negative
" deal with hexadecimal	 ",negative
" actually create  inner bean instance now	 ",negative
" not same due to fallback to raw finalfactorybean instance with repeated getobject invocations	 ",negative
" frame except for uninitialized types which may have been initialized	 ",negative
" initialize with passedin context	 ",negative
" typebased	 ",negative
" remove first four irrelevant stack trace elements	 ",negative
" exchange	 ",negative
" ignore asynccontext recycled  should not be used eg timeout listener above may have completed  asynccontext	 ",negative
" consume incdec	 ",negative
" don t bor if websphere is configured to be fully servlet compliant	 ",negative
" method call with result from method call	 ",negative
" synsized annotation	 ",negative
" requestpath methods	 ",negative
" no name specified stard jta is sufficient	 ",negative
" reinterrupt current thread to allow or threads to react	 ",negative
" spr 	 ",negative
" null new pattern should ignore	 ",negative
" find editor for superclass or interface	 ",negative
" count is now 	 ",negative
" spr 	 ",negative
" keys in  properties object are sorted	 ",negative
" we should only attempt if  user explicitly set lazyinit to true  we know  merged bean definition is forfactory bean	 ",negative
" parameters annotations  non stard attributes 	 ",negative
" set same instance	 ",negative
" just to check that this doesn t cause problems with introduction processing	 ",negative
" determine responseencoded html escape setting from  responseencodedhtmlescape	 ",negative
" assume bundle not found do not throw  exception to allow for checking parent message source	 ",negative
" is  existing bean definition one that was created fromconfiguration class allow  current bean method to override since both are at secondpass level however if  bean method is an overloaded case on  same configuration class	 ",negative
" proactively notify all active websocket sessions	 ",negative
" only use method proxy for public methods not derived from javalangobject	 ",negative
" immediate before commit after commit	 ",negative
" must allow for introductions can t just set interfaces to  target s interfaces only	 ",negative
" 	 ",negative
" spr 	 ",negative
" createbytevector to hold an annotation jvms structure see httpsdocsoraclecomjavasespecsjvmsse htmljvms html jvms 	 ",negative
" copy methods for javaioreader javaiowriter 	 ",negative
" general execution	 ",negative
" use tostring method for rendering value	 ",negative
" spr 	 ",negative
" normal case	 ",negative
" inject  beanfactory before autowiredannotationbeanpostprocessor s postprocessproperties method attempts to autowire or configuration beans	 ",negative
" minimal slf j api without location awareness support	 ",negative
" writing 	 ",negative
" what sreasonable expectation for any server or developer machine load seconds 	 ",negative
" frame output methods to generate stackmapframe attributes 	 ",negative
" spr 	 ",negative
" look atlot of items	 ",negative
" spr 	 ",negative
" we don t actually want to write just save  body flux	 ",negative
" gh 	 ",negative
" if one of m is empty  result is  or if both empty  result is 	 ",negative
" check fixed delay	 ",negative
" modify nested maps	 ",negative
" since those are only meant to apply to beans defined in  original factory	 ",negative
" interfacesabstract class are filtered out automatically	 ",negative
" removed	 ",negative
" definition will not have inherited  merged outer bean s singleton status	 ",negative
" bad sql state	 ",negative
" create or resize  initializations array if necessary	 ",negative
" double slot left oper should get boxed return true	 ",negative
" element type correctly integer	 ",negative
" implementation of configurablebeanfactory interface 	 ",negative
" spr 	 ",negative
" will be advised	 ",negative
" varargs byte	 ",negative
" specific header accessors	 ",negative
" or if  event provides its precise type	 ",negative
" eagerly fetch singleton target bean  determine result type	 ",negative
" reflective method accessor is  only one by default	 ",negative
" days of month start with in cron  calendar so add one	 ",negative
" must use  iso encoding because propertiesloadstream expects it	 ",negative
" ignore indicatescircular reference when autowiring constructors we want to find matches or than  currently created bean itself	 ",negative
" convenience factory methods	 ",negative
" hotel hotel html html however user user usruser foo bar foobar	 ",negative
"  actual expression from  bug report it fails if  english reference fails to pop  type reference for locale off  stack if it isn t popped n tolowercase will be called withlocale parameter in this situation  code generation for english should notice re is something on  stack that	 ",negative
" ok so it s  or order probably on sun jdk or ibm jdk 	 ",negative
" initialize event multicaster for this context	 ",negative
" rebroadcast	 ",negative
" if both getter  setter are null n this does not need exposing	 ",negative
" spr 	 ",negative
" indicate thatmessage has been received	 ",negative
"  observe y now pass through unresolved	 ",negative
" havingvalue in value fields will enable compilation to succeed n can switch it to null	 ",negative
" no accept header	 ",negative
" spr reflectivepropertyaccessor javabean property names compliance tests setters	 ",negative
" nest  concrete postprocessor bean in  surrounding component	 ",negative
" using default port which is so do not need to append  port means ignore	 ",negative
" mapping name lookup	 ",negative
" paxposinghlerinterceptor at chaingetinterceptors 	 ",negative
" use jackson factory in order to have jsr  jodatime modules registered automatically	 ",negative
" still bound to original thread but at least completed	 ",negative
" should we override default for including synonyms for metadata lookups	 ",negative
" not initialized yet assume no active threads	 ",negative
" this is an around advice invoke  next interceptor in  chain this will normally result intarget object being invoked need rewrapping of reactivetransaction until we get hold of  exception through usingwhen	 ",negative
" no need to evaluate right oper	 ",negative
" should have been autowired	 ",negative
" load reference definition file	 ",negative
"pattern withoutcurrency code	 ",negative
" use specific name if given else fall back to bean name	 ",negative
" spr 	 ",negative
" now we have  bean instance which may benormal bean orfactorybean if it sfactorybean we use it to createbean instance unless 	 ",negative
" get  interception chain for this method	 ",negative
" it scallbackpreferringplatformtransactionmanager passtransactioncallback in	 ",negative
" allow for defaults fallback or potentially overridden accessor	 ",negative
" 	 if  token starts meets java identifier conventions it s in	 	 ",negative
" ensure send doesn t block	 ",negative
" opgt opge false null is not or something	 ",negative
" root entry path must end with slash to allow for proper matching  sun jre does not returnslash here but bea jrockit does	 ",negative
" register simpleurlhlermapping for view controllers	 ",negative
" varargs boolean	 ",negative
" spr 	 ",negative
" moving it to  end of  processor chain for picking up proxies etc	 ",negative
" now let  annotation config loader process  configuration	 ",negative
" no superclass processing is complete	 ",negative
" should usually be  case for traditional jar files	 ",negative
" data flow algorithm put this basic block inlist blocks to process which are blocks belonging tosubroutine starting with this label  while re are blocks to process remove one from  list put it inlist of blocks that have been processed addreturn edge to  successor of subroutinecaller if applicable  add its successor basic blocks	 ",negative
" as of spring we re usingcustom connectionhle for lazy retrieval of  underlying connection allowing for deferred internal transaction begin within  eclipselink entitymanager	 ",negative
" we don t use an introductionadvisor we can just add an advice that implements introductioninfo	 ",negative
" do not modify  session just set  participate flag	 ",negative
" process superclass if any	 ",negative
" notstring use propertyeditor s setvalue with stard propertyeditors this will return  very same object we just want to allow special propertyeditors to override setvalue for type conversion from nonstring values to  required type	 ",negative
" transacted session created by this template commit	 ",negative
" rely on default setting of resourcereffalse no auto addition of javacompenv prefix	 ",negative
" will make it throwchecked exception this will be wrapped by spel on 	 ",negative
" clear cache in externally provided metadatareaderfactory this isnoop forshared cache since it ll be cleared by  applicationcontext	 ",negative
" supply  implicit upper bound if none are specified	 ",negative
" use  sessionfactory s datasource for exposing transactions to jdbc code	 ",negative
" copy  message	 ",negative
" always accept such event when  type is unknown	 ",negative
" ignore simply no detailed message n	 ",negative
" mixed operators	 ",negative
" try quick bean name or alias match first	 ",negative
" spr 	 ",negative
" use propertyeditor s setastext in case ofstring value	 ",negative
" should automatically receive applicationeventpublisher reference	 ",negative
" nest  concrete beans in  surrounding component	 ",negative
" register bean as disposable	 ",negative
" flush headers	 ",negative
" if  parent has  annotation  isn t abstract it s an error	 ",negative
" utility methods control flow analysis algorithm 	 ",negative
" fall back to system properties	 ",negative
" if re is more data it must start with  separator	 ",negative
" check wher aspect is enabled to cope with cases where  aj is pulled in automatically	 ",negative
" we re allowed to change  transaction settings of  jdbc connection	 ",negative
" serverside only	 ",negative
" trailing slash is optional	 ",negative
" already an rmi object bound for  specified service name	 ",negative
" spr 	 ",negative
" add property values based on autowire by type if applicable	 ",negative
" one string n varargs string	 ",negative
" request configuration not set in  context	 ",negative
" keep processing error dispatch with regular request hle below	 ",negative
" check socket factories for registry	 ",negative
" if all factory methods have  same return type return that type	 ",negative
" at this point it stoplevel override probably xml just having been parsed	 ",negative
" annotationbased	 ",negative
" spr 	 ",negative
" 	assertequalsno objects active confgetactive	 ",negative
" convert array elements to collection elements	 ",negative
" apply http status code for error views if specified only apply it if we re processingtoplevel request	 ",negative
" noarg ctor	 ",negative
" need to bind arguments by name as returned from  pointcut match	 ",negative
" this is used for groovy it sbean reference tocustomizer bean	 ",negative
" spr 	 ",negative
"value is set but is null 	 ",negative
" if it sper target aspect emit  dummy instantiating aspect	 ",negative
" cannot find common ancestor	 ",negative
" simpuserregistry methods	 ",negative
" check for decorated datasourcela spring s delegatingdatasource	 ",negative
" no stack size delta	 ",negative
" check socket factories for exported object	 ",negative
" could beprimitive likely	 ",negative
" dependency resolution functionality 	 ",negative
" if srctype  dsttype are array types of equal dimension but different element types mergesrctype dsttype dimsrctype javalangobject	 ",negative
" check that not broken by circular reference resolution mechanism	 ",negative
" for very general mappings eg we need to check first	 ",negative
" process individual bean methods	 ",negative
" websocket session ready sockjs session not yet	 ",negative
" an array type compare  component type	 ",negative
" elvis	 ",negative
" visit  label   line numbers for this bytecode offset if any	 ",negative
" static method	 ",negative
" not initialized yet assume initial pool size	 ",negative
" anonymous port	 ",negative
" stompencoder isn t involved	 ",negative
" optional string foo 	 ",negative
" on java  message used to contain  module name javabasejavalangstring cannot be cast	 ",negative
" only apply encoding if content type is specified but does not contain charset clause already	 ",negative
" create view controller bean definition	 ",negative
" try  keep  original accessor type	 ",negative
" one more attempt with  write lock	 ",negative
" so we match in number	 ",negative
"class we need to create an instance for every call	 ",negative
" simple replace	 ",negative
" set jpa validation mode	 ",negative
" builds on  link abstractmbeaninfoassembler superclass to addbasic algorithm for building metadata based on  reflective metadata of  mbean class p  logic for creating mbean metadata from  reflective metadata is contained in this class but this class makes no decisions as to which methods  properties are to be exposed instead it gives subclasseschance to vote on each property or method through  code includexxx methods p subclasses are also given  opportunity to populate attribute  operation metadata with additional descriptors once  metadata is assembled through  code populatexxxdescriptor methods author rob harrop author juergen hoeller author david boden since see includeoperation see includereadattribute see includewriteattribute see populateattributedescriptor see populateoperationdescriptor 	 ",negative
" throwing an exception ifcachemanager of  same name exists already	 ",negative
" lifecycle related methods	 ",negative
" use in any postprocessing or initialization that occurs below prior to refresh	 ",negative
" create  jmx service url	 ",negative
" spouse for autowiring by name	 ",negative
" empty context path root context should not match tourl withcontext path	 ",negative
" spr 	 ",negative
" requestmapping intentionally omitted	 ",negative
" eagerly load  nestedexceptionutils class to avoid classloader deadlock issues on osgi when calling getmessage reported by don brown spr 	 ",negative
" always let typemismatchnamingexception through we don t want to fall back to  defaultobject in this case	 ",negative
" build	 ",negative
" spr 	 ",negative
" assumably failed to flush changes to database	 ",negative
" for requiredannotationbeanpostprocessorskip required check attribute	 ",negative
" this case should happen only once for  visitlabel call in  constructor indeed if compute is equal to compute inserted frames currentbasicblock stays unchanged	 ",negative
" 	 ",negative
" validate column count	 ",negative
"  won t think it s equal to b s nopinterceptor	 ",negative
" 			 ",negative
" crossserver session lookup eg same user connected to multiple servers 	 ",negative
" change tonew static target	 ",negative
" in particular for java default methods	 ",negative
" was surprise	 ",negative
" it is 	 ",negative
" header bytes  bytes for local variable type table length	 ",negative
" reset static counters in case tests are run multiple times intest suite for example via junit s suite	 ",negative
" same for blob	 ",negative
" spr 	 ",negative
" will fail if not resolvable in  file system	 ",negative
" initialize immutable resolver  transformer chains	 ",negative
" look up single bean by type	 ",negative
" t  t are found here as of spring since y are preregistered singleton instances while testfactory  testfactory are not found because y are factorybean definitions that haven t been initialized yet	 ",negative
" conversionservice s integertoenumconverterfactory for use as index	 ",negative
" static builder methods	 ",negative
" proceed in any case	 ",negative
" 	 return  propagation behavior	 p must return one of  code propagation xxx constants	 defined on link transactiondefinition this interface	 p  default is link propagation required	 return  propagation behavior	 see propagation required	 see orgspringframeworktransactionsupporttransactionsynchronizationmanager isactualtransactionactive	 	 ",negative
" mirrors  score computation logic in pathpattern	 ",negative
" statements can add attribute names to  constant pool reby changing its size 	 ",negative
" rethrowprovider configuration exception possibly withnested cause directly	 ",negative
"  metaannotation should have been loaded by  parent	 ",negative
" triggers headers resolution	 ",negative
" recursive invocation parsing placeholders contained in  previously resolved placeholder value	 ",negative
" it s actually configurationclasspostprocessor s environment that gets  job done here	 ",negative
" 	 ",negative
" shouldn t go through to remote service	 ",negative
" 	asserttruesome free confgetfree 	 ",negative
" ask for  result to be made into an integer knowing that it will not fit	 ",negative
" initialize  scheduler instance	 ",negative
" only bytype  byname supported but maybe or default inherited	 ",negative
" accept 	 ",negative
" 		v expressiongetvaluectxholder 		 ",negative
" opplus	 ",negative
" first rollback	 ",negative
" same unwrapping exception hling as above in above catch block	 ",negative
"  context has not yet been refreshed provide services such as setting  parent context setting  application context id etc	 ",negative
" xx informational	 ",negative
" check all beans of type sqlerrorcodes	 ",negative
" find all viewresolvers in  applicationcontext including ancestor contexts	 ",negative
" possibly an ie style value wed apr gmt length 	 ",negative
"  annotation presence use target class instead of interfacebased proxy	 ",negative
" trigger lazy resolution	 ",negative
" name attribute is not supported by label 	 ",negative
" n check annotation on factory method if applicable	 ",negative
" length of w bits md hash 	 ",negative
" interfaces	 ",negative
" purge empty entries on access since we don t havecleanup thread or  like	 ",negative
" not annotated	 ",negative
" method call	 ",negative
" since  map islinkedmultivaluemap we depend on  ordering of elements in  map  reverse  order of  keys in order to traverse	 ",negative
" an ejb session bean	 ",negative
" opt in for error dispatch	 ",negative
" implementing expression	 ",negative
" assumes rpcsetpatternjavalangobjecthashcode	 ",negative
" accessible as property field accessible as property through gettersetter accessible as property through gettersetter	 ",negative
" should not match because re s not gif extension in re	 ",negative
" create empty transaction no actual transaction but potentially synchronization	 ",negative
" we re running with connection release mode on close we re able to reset  isolation level or readonly flag of  jdbc connection here else we need to rely on  connection pool to perform proper cleanup	 ",negative
" all values if none set	 ",negative
"  rename this class	 ",negative
" v extensionfactory abstract class interface	 ",negative
" t t	 ",negative
" children is  type of  constructor don t want to include that in argument processing	 ",negative
" noninherited classlevel annotation note order is not inherited	 ",negative
" create  set of field types that may be annotated with datetimeformat note  readablepartial concrete types are registered explicitly since addformatterforfieldtype rules exist for each of se types if we did not do this  default bytype rules for localdate localtime  localdatetime would take precedence over  annotation rule which is not what we want	 ",negative
" this will be set by dummypersistenceprovider	 ",negative
" this will be cached anyway as  earlyput has updated  cache before	 ",negative
" use default valueof methods for parsing text	 ",negative
" enforce namespace aware for xsd	 ",negative
" container is stopped but should neverless invoke  runnable argument	 ",negative
" message	 ",negative
" jibx does not support sax natively so we write tobuffer first  transform that to  hlers	 ",negative
" jsr api as included in java ee not available simply skip	 ",negative
" spr 	 ",negative
" verify  result	 ",negative
" ordered   rest	 ",negative
" getting request parameters will consume  request body	 ",negative
" special case re is one parameter left  it is an array  it matches  varargs expected argument that ismatch  caller has already built  array proceed with it	 ",negative
" we need to createmethod invocation	 ",negative
" bug in javac in jdk annotation array excludes enclosing instance parameter for inner classes so access it with  actual parameter index lowered by 	 ",negative
" separate implicit return parameters from explicit parameters	 ",negative
" hits joinpoint	 ",negative
" log jtoslf j bridge we ll rar go with  slf j spi however we still prefer log j over  plain slf j api since  latter does not have location awareness support	 ",negative
" invocations	 ",negative
" ignore no hlerexceptionresolver is fine too	 ",negative
" result hler available let s clear  stored reference since	 ",negative
" spr 	 ",negative
" smartcontextloader processcontextconfiguration 	 ",negative
" 	 see spr 	 	 ",negative
" reserved  specific meaning might be defined in  future	 ",negative
" trailing slash	 ",negative
" datasource if not explicitly specified	 ",negative
" check printstacktrace	 ",negative
" fall through if setaccessible fails with inaccessibleobjectexception on jdk on  module path or withjvm bootstrapped with illegalaccessdeny	 ",negative
" hibernate getflushmode with flushmode return type	 ",negative
" spr 	 ",negative
" both  upper  lower bounds of  righth side must be completely enclosed in  upper  lower bounds of  left h side	 ",negative
" to hle  case of an interbean method reference we must explicitly check  container for already cached instances	 ",negative
" can t propagate error to client so just log	 ",negative
" cast is safe as callbackfilter filters are used selectively	 ",negative
" skip  fields array field	 ",negative
" methods are inherited	 ",negative
" next register  beanpostprocessors that implement ordered	 ",negative
" typebased argument resolution	 ",negative
" trim  text value to avoid unwanted whitespace caused by typical xml formatting	 ",negative
" encounterednew context hierarchy level 	 ",negative
" using distance will ensuremore accurate match is discovered more closely following  java rules	 ",negative
" setvalueexpecterrorarraycontainerlongs new arraylist string 	 ",negative
" spr 	 ",negative
" probablygeneric type mismatch between interface  impl as reported in spr hv let s try to find  bridged method on  implementation class	 ",negative
" will be exposeinvocationinterceptor syntic instantiation advisor method advisors	 ",negative
" spr 	 ",negative
" should trigger close method expected by entitymanagerfactory mock	 ",negative
" spr set callbacks directly on  instance instead of in  enhanced class via  enhancer in order to avoid memory leaks	 ",negative
" eagerly load  contextclosedevent class to avoid weird classloader issues on application shutdown in weblogic reported by dustin woods	 ",negative
" here we do not extract  labels corresponding to  attribute content this would requirefull parsing of  attribute which would need to be repeated when parsing  bytecode instructions see below instead  content of  attribute is read one frame attime ie afterframe has been visited  next frame is read   labels it contains are also extracted one frame attime thanks to  ordering of frames having onlyone frame lookahead is notproblem ie it is not possible to see an offset smaller than  offset of  current instruction  for which no label exist except for uninitialized type offsets we solve this by parsing  stack map table withoutfull decoding see below	 ",negative
" spr 	 ",negative
" spr 	 ",negative
" we have no fallback text to consider	 ",negative
" spr 	 ",negative
" it will complain if it can t get  proxy	 ",negative
"  match it starts withseparator	 ",negative
" rethrow jmsexception to indicate an infrastructure problem that may have to trigger recovery	 ",negative
" optional int blah 	 ",negative
" convert string array tocommaseparated string only applies if no propertyeditor converted  string array before  csv string will be passed intopropertyeditor s setastext method if any	 ",negative
" november	 ",negative
" gh 	 ",negative
" boolean operators	 ",negative
" all tests are in superclass	 ",negative
" stack height	 ",negative
" detect packageprotected nullbean instance through equalsnull check	 ",negative
" ignore remoteaccessexception as probably setup issue with jaxws provider vs jaxb	 ",negative
" resolves to entitymanagerfactory or entitymanager	 ",negative
" allow for  collection of early applicationevents	 ",negative
" suppression required due to bug in javac in java presence of default method inserializable interface	 ",negative
" determine resourceloader to use	 ",negative
" first see if we havecached value	 ",negative
" not serializable servlet containers usually automatically unbind  attribute in this case	 ",negative
" spr 	 ",negative
" todo same as old age to avoid ordering effect for now	 ",negative
" requires type conversion of to 	 ",negative
" n without	 ",negative
" existing transaction that we participate in controlled outside of  scope of this spring transaction manager try to register an aftercompletion callback with  existing jta transaction	 ",negative
" assert	 ",negative
" xhrtransport methods	 ",negative
" ignored for  common pool	 ",negative
" checkcast each argument against  target s argument types	 ",negative
" invalid message format probably not intended for formatting rar usingmessage structure with no arguments involved	 ",negative
"bridge method was passed in but we couldn t find  bridged method let s proceed with  passedin method  hope for  best	 ",negative
" hle jpa isjoinedtotransaction method for  nonjta case	 ",negative
" array of lists	 ",negative
" register component for  surrounding contextannotationconfig element	 ",negative
" delete	 ",negative
" compute  number of locals ignoring top types that are just afterlong ordouble  all trailing top types	 ",negative
" disable log file	 ",negative
" create  method factory bean	 ",negative
" orwise just  given exception asis	 ",negative
" unsupported map operations	 ",negative
"  	 ",negative
" parameter annotation	 ",negative
" access short array	 ",negative
" add  main interceptor typically an advisor	 ",negative
" determine if each loader can loadcontext from  mergedconfig if it can let it orwise keep iterating	 ",negative
" if  transaction is still active	 ",negative
" what sreasonable expectation for any server or developer machine load seconds 	 ",negative
" with null conversion null false	 ",negative
" no httpsession available no mutex necessary	 ",negative
"  output of  accessor will beprimitive but from  block above it might be null so to havecommon stack element at skipifnull target we need to box  primitive	 ",negative
" unknown number subtypes best guess is double addition	 ",negative
" lenient fallback dummy factory in case of original factory not found	 ",negative
" no custom editor check beanwrapperimpl s default editors	 ",negative
" 	 ",negative
" perform tests with classvaluesasstring false  default	 ",negative
" use numberformat for rendering value	 ",negative
" considerprebound connection as transaction	 ",negative
" next invoke  beanfactorypostprocessors that implement ordered	 ",negative
" always passes	 ",negative
" convert keys  values to respective target type if determined	 ",negative
" spr 	 ",negative
" start new transaction with default commit semantics	 ",negative
"  following inner classes need to remain since lambdas would not retain ir declared generic types which need to be seen by  underlying websocket engine	 ",negative
" should we access call parameter metadata info or not	 ",negative
" 	 helper method for printing  ast with indentation	 	 ",negative
"	 ",negative
" preserve rollbackonclose semantics	 ",negative
" varargs with nothing needing conversion	 ",negative
" reset static state	 ",negative
" stack leftrightright stack leftright	 ",negative
" spr 	 ",negative
" stard headers as defined in  spec	 ",negative
" local tests 	 ",negative
" also business exception 	 ",negative
"  target bean should be ignored in favor of  scoped proxy	 ",negative
" determine initial delay	 ",negative
" custom	 ",negative
" iterator	 ",negative
" regular case straight bean instance with beanfactory available	 ",negative
" instance methods relative tobase uricomponentsbuilder	 ",negative
" createbytevector to holdtype annotation jvms structure see httpsdocsoraclecomjavasespecsjvmsse htmljvms html jvms 	 ",negative
" treat it likeproperty  readercache will only contain gettable properties let s not worry about setters for now	 ",negative
" nothing to assert	 ",negative
" invoke  hler method with appropriate arguments	 ",negative
" optional hling	 ",negative
" no synchronization necessary	 ",negative
" determine init method  destroy method	 ",negative
" implementation of javamailsender 	 ",negative
" externalgeneralentities  dtd support enabled	 ",negative
" assertions in init should succeed	 ",negative
" could not transmit  exception to  caller with default executor	 ",negative
" create  embedded database first	 ",negative
" mysql style escapes 	 ",negative
" remove  jdbc connection holder from  thread if exposed	 ",negative
" interpret location as relative to  web application root directory	 ",negative
" final class httpservlet requestfactory implements httpservletrequestfactory	 ",negative
" process lastmodified header if supported by  hler	 ",negative
" lazily establishshared connection if necessary	 ",negative
" no corresponding class found at all	 ",negative
" jibx compiler is currently not compatible with jdk 	 ",negative
" spr 	 ",negative
" multi arg ctor that includes primitives	 ",negative
" disallowing access to  springprofilesactive property means that  beefinitionreader won t be able to determine which profiles are active we should see an infolevel message in  console about this  asresult any components marked withnondefault profile will	 ",negative
" spring	 ",negative
" use current user schema if no schema specified	 ",negative
" generic header accessors	 ",negative
" of  new subclasses	 ",negative
" stop shared connection early if necessary	 ",negative
" eir targetobject or targetbeanname specified	 ",negative
" no result hler set yet let  setresulthler implementation pick up  result object  invoke  result hler for it	 ",negative
" fail if we are still missing properties	 ",negative
" filter will be called but not do anything so first doit will be invoked	 ",negative
" skip over any block comments	 ",negative
" this is an around advice invoke  next interceptor in  chain this will normally result intarget object being invoked	 ",negative
" make sure  interface is loaded from  parent class loader	 ",negative
" it doesn t havepointcut so we assume it applies	 ",negative
" try to find cached factory for resourcebundle list	 ",negative
" requires type conversion of to 	 ",negative
" start  shared connection if any	 ",negative
" locale beanfactory 	 ",negative
" 	 ",negative
" remove all remaining references to any removed contexts from 	 ",negative
" check that we re not parsing our own bean definition to avoid failing on unresolvable placeholders in properties file locations	 ",negative
" retrieve canonical http schema mapping even for https declaration	 ",negative
" ignoreunresolvablenestedplaceholders	 ",negative
